-4.020758e-01  2.317730e+00  3.931254e+41  9.320788e+43 
 1.813604e-01  1.359308e+00  9.390615e+40  5.611168e+43 
-1.916517e+00  5.979779e+00  1.563357e+41  1.635546e+43 
-3.468005e+00  9.976956e+00  1.888326e+41  7.230184e+42 
-4.973850e+00  1.909954e+01  1.505659e+41  4.987628e+42 
 6.638827e+00  1.787607e+01  1.915101e+41  2.859336e+42 
 5.340145e+00  1.556357e+01  3.107565e+41  1.965327e+42 
 5.133563e+00  2.192349e+01  5.141845e+41  1.479508e+42 
 4.855321e+00  3.745587e+01  7.285763e+41  1.751826e+42 
 4.108042e+00  3.305873e+01  1.077647e+42  2.306594e+42 
 4.708592e+00  2.575566e+01  1.814670e+42  3.598770e+42 
 4.736387e+00  2.836174e+01  3.140198e+42  6.057082e+42 
 6.247220e+00  3.103705e+01  4.734971e+42  9.330339e+42 
 6.576373e+00  1.857364e+01  5.499497e+42  1.071861e+43 
 6.108891e+00  1.390636e+01  5.829227e+42  1.129579e+43 
 5.765730e+00  1.113132e+01  6.280428e+42  1.227608e+43 
 5.436462e+00  9.187462e+00  7.157289e+42  1.405167e+43 
 5.108469e+00  8.055216e+00  8.156181e+42  1.601425e+43 
 5.053627e+00  7.817285e+00  9.941488e+42  1.946467e+43 
 5.152985e+00  7.993992e+00  1.200194e+43  2.370775e+43 
 5.161799e+00  8.226896e+00  1.317290e+43  2.614981e+43 
 5.236742e+00  8.723984e+00  1.404907e+43  2.745283e+43 
 5.388963e+00  9.204474e+00  1.552447e+43  3.032416e+43 
 5.520390e+00  9.478384e+00  1.762879e+43  3.460735e+43 
 5.626390e+00  9.489715e+00  1.890455e+43  3.709749e+43 
 5.596088e+00  9.277077e+00  1.993648e+43  3.905069e+43 
 5.535473e+00  8.983674e+00  2.043490e+43  4.009972e+43 
 5.299109e+00  1.159595e+01  2.024407e+43  3.976852e+43 
 5.073890e+00  8.767678e+00  2.019412e+43  3.946341e+43 
 4.877154e+00  7.728863e+00  2.133943e+43  4.184578e+43 
 4.971412e+00  7.439347e+00  2.444555e+43  4.758428e+43 
 5.200189e+00  7.724199e+00  2.878532e+43  5.539953e+43 
 5.509762e+00  8.054920e+00  3.237719e+43  6.199297e+43 
 5.451377e+00  7.951862e+00  3.337247e+43  6.389378e+43 
 5.419948e+00  7.978275e+00  3.255538e+43  6.285115e+43 
 5.236307e+00  7.484456e+00  3.197218e+43  6.195069e+43 
 5.095581e+00  7.094405e+00  3.325388e+43  6.555822e+43 
 5.003841e+00  6.979588e+00  3.505825e+43  6.888511e+43 
 5.084448e+00  7.215440e+00  3.925662e+43  7.655313e+43 
 5.317213e+00  7.576681e+00  4.450860e+43  8.660603e+43 
